                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.2732,                 2.1882,                  2.568,                0.68259,                   0.75,                0.85827,                0.64002,                  3.027,                 3.2358,                 2.5529,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.7215,                 1.4706,                 2.2657,                0.68259,                   0.75,                0.85827,                0.64002,                  3.027,                 3.2358,                 2.5529,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.3836,                 3.6049,                 2.3367,                0.69753,                   0.75,                0.85899,                0.63403,                 3.0268,                 3.2955,                 2.4997,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.4407,                 1.6852,                 2.0905,                0.69753,                   0.75,                0.85899,                0.63403,                 3.0268,                 3.2955,                 2.4997,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                  1.437,                 1.4943,                 2.2535,                0.95966,                0.52987,                0.85858,                0.62986,                 3.0138,                 3.3352,                   2.49,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.95185,                 1.3374,                 1.9935,                0.95966,                0.52987,                0.85858,                0.62986,                 3.0138,                 3.3352,                   2.49,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.0989,                 1.5271,                 1.9716,                0.95368,                0.53048,                0.85681,                0.62978,                 3.0072,                 3.3801,                 2.4863,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 1.5327,                 1.3186,                 2.1982,                0.95368,                0.53048,                0.85681,                0.62978,                 3.0072,                 3.3801,                 2.4863,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.2779,                0.90628,                 2.0295,                0.93914,                0.53192,                0.85034,                0.62169,                 2.9972,                 3.4508,                 2.4806,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.3838,                 1.8414,                 2.1967,                0.93914,                0.53192,                0.85034,                0.62169,                 2.9972,                 3.4508,                 2.4806,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.5254,                 1.8209,                 2.2736,                0.93374,                0.53263,                0.84914,                0.62051,                 3.0304,                 3.5725,                 2.4905,             2.9198e-05,             2.9198e-05,             2.9198e-05
